arquivo,codigo_sugerido,produto_sugerido,categoria,score,codigo_confirmado
Imagem de um adaptad.png,441,ADAPTADOR DE TORNEIRA,,63.4,
Pacote de abraçadeir.png,399,ALICATE DE CORTE 6,,63.2,
hs-advance-2 (1).jpg,67,RESISTENCIA HS ADVANCED 7500W,,62.9,
Pacote de bastões de.png,399,ALICATE DE CORTE 6,,62.9,
disco_verde_110_15mm_.jpeg,573,DISCO DIAMANTADO 110X15MM ELETR,,62.7,
bomba-verde.jpg,555,"ALICATE P/ BOMBA DE AGUA, 10",,62.5,
Pacote de corda mult.png,393,CORDA DE MULTI USO 15MMX 8MM,,62.5,
Pacote de conectores.png,504,CONECTOR DE MANGUEIRA 1/2,,62.2,
uma pilha de cinco r.png,452,RALO DE INOX PARA PIA 5CM,,62.2,
broca-8-120-mm.jpg,270,BROCA VIDEA 8X120MM,,62.1,
broca_collins_1mm.jpeg,407,BROCA CHATA 10MM,,62.1,
ponteira-65mm-removebg-preview.png,239,PONTEIRA PHILIPS PH2 65MM MAGNET,,61.9,
broca_mourao_9_por_32.jpeg,309,"BROCA ACO RAPIDO 2,8MM",,61.5,
ROLO-10CM.png,357,FITA FIXTAPE BUTILICA 10CM X 5M X 1,,61.5,
broca-1-bonita.jpg,407,BROCA CHATA 10MM,,61.5,
"ex-1,5m-2.jpg",402,"ELASTICO EXTENSOR 1,5M X 8MM",,61.5,
fita-anti-aderante-5m-1.jpg,348,FITA ISOLANTE 5M,,61.5,
imagem de um conjunt.png,101,CONJUNTO DE LAMINA DE ESTILETE 1,,61.2,
DUCHINHA-SS-removebg-preview.png,65,RESISTENCIA HS DUCHINHA SS 5200 W,,61.1,
"pulseira_,magnetica.jpeg",557,JOGO DE BITS MAGNETICO PONTEIRA p,,60.9,
broca_collins_1mm (1).jpeg,236,BROCA HSS-G 10X1MM,,60.6,
disco_verde_110_15mm_ (1).jpeg,573,DISCO DIAMANTADO 110X15MM ELETR,,60.4,
res-jpg.jpg,67,RESISTENCIA HS ADVANCED 7500W,,60.0,
imagem_grampo_6mm.png,281,BROCA WIDEA 6MM,,60.0,
COLA-PEGA-RATO.jpg,207,PLUG MACHO PRETO,,60.0,
cola-quente2.jpg,27,SQ PISTOLA DE COLA QUENTE,,59.5,
chave_verde_3_reduzida.jpeg,503,CHAVE DE BIELA 13MM,,59.5,
ABRA-ALEMA.jpg,46,AR0566 - ABRACADEIRA NYLON PRETA,,59.3,
fix-tape-chat-final (2).jpg,364,FITA FIXTAPE BUTILICA 5CMX5MX1.2M,,59.3,
fix-tape-chat-final (1).jpg,357,FITA FIXTAPE BUTILICA 10CM X 5M X 1,,59.3,
Imagem de uma bomba .png,555,"ALICATE P/ BOMBA DE AGUA, 10",,59.3,
protetor_entradas_reduzido.jpeg,255,PROTETOR ELETRINICO 6 SAIDAS,,59.3,
paraf-p01104.jpg,174,PARAF (ANFIX) GESSO CABECA TROMBE,,58.8,
