codigo,produto,saldo,unidade,preco_atacado,preco_varejo,fornecedor,categoria,imagem,catalogo
433,COLHER PEDREIRO RETO 10 16KG,"20,000",UN,20.45,0.0,,FERRAMENTAS,433_COLHER_PEDREIRO_RETO_10_16KG.jpeg,SIM
425,COLHER PEDREIRO 10 CANTO REDOND,"36,000",UN,28.15,0.0,,FERRAMENTAS,425_COLHER_PEDREIRO_10_CANTO_REDONDO_27KG.png,SIM
429,COLHER PEDREIRO 10 CANTO RETO 27,"36,000",UN,27.16,0.0,,FERRAMENTAS,429_COLHER_PEDREIRO_10_CANTO_RETO_27KG.jpeg,SIM
426,COLHER PEDREIRO 7 CANTO RETO 15,"40,000",UN,20.8,0.0,,FERRAMENTAS,426_COLHER_PEDREIRO_7_CANTO_RETO_15KG.jpeg,SIM
436,COLHER PEDREIRO 7CANTO REDONDO,"40,000",UN,21.35,0.0,,FERRAMENTAS,436_COLHER_PEDREIRO_7_CANTO_REDONDO_12KG.jpeg,SIM
438,COLHER PEDREIRO 8 CANTO REDOND,"37,000",UN,23.54,0.0,,FERRAMENTAS,438_COLHER_PEDREIRO_8_CANTO_REDONDO_19KG.jpeg,SIM
427,COLHER PEDREIRO 8 CANTO RETO 19,"36,000",UN,23.44,0.0,,FERRAMENTAS,427_COLHER_PEDREIRO_8_CANTO_RETO_19KG.jpeg,SIM
391,COLHER PEDREIRO 9,"93,000",UN,9.99,0.0,SETE MARES COMER,FERRAMENTAS,391_COLHER_PEDREIRO_9.jpeg,SIM
437,COLHER PEDREIRO 9 CANTO REDOND,"30,000",UN,25.74,0.0,,FERRAMENTAS,437_COLHER_PEDREIRO_9_CANTO_REDONDO_30KG.jpeg,SIM
428,COLHER PEDREIRO 9 CANTO RETO 22,"31,000",UN,25.92,0.0,,FERRAMENTAS,428_COLHER_PEDREIRO_9_CANTO_RETO_22KG.jpeg,SIM
432,COLHER PEDREIRO CANTO RETO 9,"44,000",UN,21.96,0.0,,FERRAMENTAS,432_COLHER_PEDREIRO_CANTO_RETO_9.jpeg,SIM
434,COLHER PEDREIRO REDONDO 9 16KG,"38,000",UN,20.74,0.0,,FERRAMENTAS,434_COLHER_PEDREIRO_REDONDO_9.jpeg,SIM
430,COLHER PEDREIRO RETO 7 13KG,"48,000",UN,19.81,0.0,,FERRAMENTAS,430_COLHER_PEDREIRO_RETO_7 _13KG.jpeg,SIM
431,COLHER PEDREIRO RETO 8,"44,000",UN,20.73,0.0,,FERRAMENTAS,431_COLHER_PEDREIRO_RETO_8.jpeg,SIM
455,CONECTOR 10MM 3 POLO 10A 250V 08,"100,000",UN,2.38,0.0,APLASTEC,ELETRICA,,SIM
