linha
SENNA FIX
LISTAGEM DE PRODUTOS 22/06/2026 11:32:38
página: 1 de 10
Geral
Código Descricao Local. Saldo Un Atacado Varejo Fornecedor
"281 BROCA WIDEA 6MM 25,000 UN 3,040000 0,000000 DIAMETALIC FERRA"
"517 BROCA WIDEA 6MM ELITE 199,000 UN 3,340000 0,000000 KL VITORIA - COM. D"
"282 BROCA WIDEA 8MM 75,000 UN 4,160000 0,000000 DIAMETALIC FERRA"
"518 BROCA WIDEA 8MM, ELITE 193,000 UN 7,330000 0,000000 KL VITORIA - COM. D"
"522 BROCA WIDEA SDS PLUS 160X 12MM, E 16,000 UN 9,420000 0,000000 KL VITORIA - COM. D"
"521 BROCA WIDEA SDS PLUS 160X10MM,E 95,000 UN 8,060000 0,000000 KL VITORIA - COM. D"
"513 BUCHA FIXACAO ECOLIDER 10 C/ANEL 10,000 UN 33,600000 0,000000"
"514 BUCHA FIXACAO ECOLIDER 8 C/ANEL C 10,000 UN 35,600000 0,000000"
"580 BUCHAS PLASTICAS 8MM 10,000 UN 29,230000 0,000000 APLASTEC"
"43 CABO EXTENSOR FLEXIVEL P/PARAFU 6,000 UN 19,960000 0,000000 STARTOOLS FERRA"
"442 CHAVE BIELA DE ABERTURA 10MM 236,000 UN 7,670000 0,000000 KL VITORIA - COM. D"
"443 CHAVE BIELA DE ABERTURA FIXA 11 220,000 UN 7,470000 0,000000 KL VITORIA - COM. D"
"482 CHAVE BIELA TIPO L 17MM 36,000 UN 13,940000 0,000000"
"503 CHAVE DE BIELA 13MM 140,000 UN 8,860000 0,000000 SETE MARES COMER"
"444 CHAVE DE BIELA DE ABERTURA FIXA 1 134,000 UN 7,750000 0,000000 KL VITORIA - COM. D"
"445 CHAVE DE BIELA DE ABERTURA FIXA 1 185,000 UN 9,810000 0,000000 KL VITORIA - COM. D"
"446 CHAVE DE BIELA DE ABERTURA FIXA 1 78,000 UN 10,740000 0,000000 SETE MARES COMER"
"448 CHAVE DE BIELA DE ABERTURA FIXA 8 290,000 UN 7,640000 0,000000 SETE MARES COMER"
"449 CHAVE DE FENDA DE METAL COM CA 180,000 UN 6,840000 0,000000 SETE MARES COMER"
"558 CHAVE DE RODA 17-19-21-23 ACO 20,000 UN 42,300000 0,000000 SETE MARES COMER"
Nucleu Tecnologia. 4109 1212
SENNA FIX
LISTAGEM DE PRODUTOS 22/06/2026 11:32:38
página: 4 de 10
Geral
Código Descricao Local. Saldo Un Atacado Varejo Fornecedor
"224 CHAVE PARA ESMERILHADEIRA 100,000 UN 14,100000 0,000000 SETE MARES COMER"
"536 CHAVE PHILLIPS 3/16X3"" 11,000 PE 8,350000 0,000000 COLLINS"
"537 CHAVE PHILLIPS 3/16X6"" 24,000 PE 10,490000 0,000000 COLLINS"
"538 CHAVE PHILLIPS 5/16X6 79 9,000 PE 17,980000 0,000000 COLLINS"
"240 CHUVEIRO BELA DUCHA LOROZETTI 6 0,000 UN 72,110000 0,000000"
"578 CHUVEIRO ZAGONEL BALLERINA 3T 8,000 UN 59,990000 0,000000"
"451 CINTA DE NAILON 48,000 UN 13,920000 0,000000 SETE MARES COMER"
"390 COLHER PEDREIRO 7 96,000 UN 8,540000 0,000000 SETE MARES COMER"
"435 COLHER PEDREIRO REDONDO 10 18KG 48,000 UN 25,230000 0,000000"
"433 COLHER PEDREIRO RETO 10 16KG 20,000 UN 20,450000 0,000000"
"425 COLHER PEDREIRO 10 CANTO REDOND 36,000 UN 28,150000 0,000000"
"429 COLHER PEDREIRO 10 CANTO RETO 27 36,000 UN 27,160000 0,000000"
"426 COLHER PEDREIRO 7 CANTO RETO 15 40,000 UN 20,800000 0,000000"
"436 COLHER PEDREIRO 7CANTO REDONDO 40,000 UN 21,350000 0,000000"
"438 COLHER PEDREIRO 8 CANTO REDOND 37,000 UN 23,540000 0,000000"
"427 COLHER PEDREIRO 8 CANTO RETO 19 36,000 UN 23,440000 0,000000"
"391 COLHER PEDREIRO 9 93,000 UN 9,990000 0,000000 SETE MARES COMER"
"437 COLHER PEDREIRO 9 CANTO REDOND 30,000 UN 25,740000 0,000000"
"428 COLHER PEDREIRO 9 CANTO RETO 22 31,000 UN 25,920000 0,000000"
"432 COLHER PEDREIRO CANTO RETO 9 44,000 UN 21,960000 0,000000"
"434 COLHER PEDREIRO REDONDO 9 16KG 38,000 UN 20,740000 0,000000"
"430 COLHER PEDREIRO RETO 7 13KG 48,000 UN 19,810000 0,000000"
"431 COLHER PEDREIRO RETO 8 44,000 UN 20,730000 0,000000"
"455 CONECTOR 10MM 3 POLO 10A 250V 08 100,000 UN 2,380000 0,000000 APLASTEC"
"456 CONECTOR 16MM 2 POLO 50A 600V 100,000 UN 2,650000 0,000000 APLASTEC"
"457 CONECTOR 16MM 3 POLO 50A 600V 170,000 UN 4,480000 0,000000 APLASTEC"
"338 CONECTOR CERAMICO 3 POLOS 10MM -12,000 UN 3,020000 0,000000 PHP UTILIDADES LT"
"339 CONECTOR CERAMICO 3 POLOS 16 MM -23,000 UN 5,700000 0,000000 PHP UTILIDADES LT"
"504 CONECTOR DE MANGUEIRA 1/2 354,000 UN 3,510000 0,000000 SETE MARES COMER"
"586 CONJUNTO COM 12 PCS BUCHA 8 100,000 UN 1,850000 0,000000"
"587 CONJUNTO COM 12 PCS BUCHA 8 100,000 UN 1,850000 0,000000"
"588 CONJUNTO COM 8 PCS BUCHA 10 100,000 UN 1,850000 0,000000"
"101 CONJUNTO DE LAMINA DE ESTILETE 1 37,000 UN 4,900000 0,000000 KL VITORIA - COM. D"
"369 CONJUNTO DE ROLOS PARA PINTURA C 7,000 UN 74,740000 0,000000 KL VITORIA - COM. D"
"102 CONJUNTO DE SOQUETE 9 PCS, MARCA -3,000 UN 15,400000 0,000000 KL VITORIA - COM. D"
"584 CORANTE LIQUID INDELFLEX AMAREL 156,000 UN 4,500000 0,000000 VALDEMAR SANTA"
"585 CORANTE LIQUID INDELFLEX AZUL 5 156,000 UN 4,500000 0,000000 VALDEMAR SANTA"
"582 CORANTE LIQUID INDELFLEX PRETO 5 120,000 UN 4,500000 0,000000 VALDEMAR SANTA"
"583 CORANTE LIQUID INDELFLEX VERDE 5 156,000 UN 4,500000 0,000000 VALDEMAR SANTA"
"393 CORDA DE MULTI USO 15MMX 8MM 21,000 UN 9,990000 0,000000 SETE MARES COMER"
"392 CORDA MULTI USO 10 X 8MM 67,000 UN 7,440000 0,000000 SETE MARES COMER"
"72 DISCO ABRASIVO 115X1X20,23MM INOX -32,000 UN 3,000000 0,000000 TECNO CORTE"
"287 DISCO DE CORTE 24 DENTES FURO 25 P 5,000 UN 36,150000 0,000000 DIAMETALIC FERRA"
"368 DISCO DE CORTE ABRASIVO 110X1.0X2 70,000 UN 3,360000 0,000000 KL VITORIA - COM. D"
"366 DISCO DE CORTE ABRASIVO INOX 115 X 200,000 UN 1,780000 0,000000 KL VITORIA - COM. D"
"520 DISCO DE CORTE ABRASIVO INOX 115 400,000 UN 4,100000 0,000000 KL VITORIA - COM. D"
"367 DISCO DE CORTE ABRASIVO INOX 180 X 70,000 UN 5,460000 0,000000 KL VITORIA - COM. D"
"201 DISCO DE CORTE DIAMANTADO 100X2 145,000 UN 17,990000 0,000000 STONE DIAMOND TO"
"577 DISCO DE CORTE DIAMANTADO 100X2 90,000 UN 9,900000 0,000000 STONE DIAMOND TO"
"576 DISCO DE CORTE DIAMANTADO 100X2 87,000 UN 9,900000 0,000000 STONE DIAMOND TO"
"574 DISCO DE CORTE DIAMANTADO 110X2 90,000 UN 9,900000 0,000000 STONE DIAMOND TO"
Nucleu Tecnologia. 4109 1212
SENNA FIX
LISTAGEM DE PRODUTOS 22/06/2026 11:32:38
página: 5 de 10
Geral
Código Descricao Local. Saldo Un Atacado Varejo Fornecedor
"195 DISCO DE CORTE DIAMANTADO 110X8 31,000 UN 8,900000 0,000000 STONE DIAMOND TO"
"196 DISCO DE CORTE DIAMANTADO 110X8 101,000 UN 8,900000 0,000000 STONE DIAMOND TO"
"202 DISCO DE CORTE DIAMANTADO 110X8 117,000 UN 8,900000 0,000000 STONE DIAMOND TO"
"515 DISCO DE CORTE DIAMANTADO PORCE 10,000 UN 18,590000 0,000000 KL VITORIA - COM. D"
"421 DISCO DE CORTE DIAMANTADO PORCE 10,000 UN 0,000000 0,000000 KL VITORIA - COM. D"
"344 DISCO DE FERRO ACO INOX CORTE RAP 0,000 UN 6,990000 0,000000 DIAMETALIC FERRA"
"525 DISCO DE LIXA 125MM GR.80 143,000 PC 1,200000 0,000000 KL VITORIA - COM. D"
"529 DISCO DE LIXA VELCRO 125 X 22MM ,G 143,000 PC 1,020000 0,000000 KL VITORIA - COM. D"
"524 DISCO DE LIXA VELCRO 125MM,GR 060 143,000 UN 1,420000 0,000000 KL VITORIA - COM. D"
"523 DISCO DE LIXA VELCRO 125MM,GR.040 143,000 PC 1,400000 0,000000 KL VITORIA - COM. D"
"527 DISCO DE LIXA VELCRO 125MM,GR.120 145,000 PC 1,300000 0,000000 KL VITORIA - COM. D"
"528 DISCO DE LIXA VELCRO 125MM,GR.150 143,000 PC 1,360000 0,000000 KL VITORIA - COM. D"
"526 DISCO DE LIXA VELCRO,GR.100 145,000 PC 1,360000 0,000000 KL VITORIA - COM. D"
"315 DISCO DE SERRA CIRCULAR, P/ MADEIR -119,000 UN 5,550000 0,000000 SETE MARES COMER"
"573 DISCO DIAMANTADO 110X15MM ELETR 100,000 UN 16,000000 0,000000 STONE DIAMOND TO"
"571 DISCO DIAMANTADO 110X20X1.2X10 100,000 UN 20,000000 0,000000 STONE DIAMOND TO"
"199 DISCO DIAMANTADO 110X20X1.2X10 37,000 UN 17,990000 0,000000 STONE DIAMOND TO"
"232 DISCO DIAMETALIC PORCELANATO FU 4,000 UN 22,890000 0,000000 DIAMETALIC FERRA"
"233 DISCO ESMERILHADEIRA TURBO FURO -2,000 UN 14,280000 0,000000 DIAMETALIC FERRA"
"162 DISCO FLASH INOX 114,3X1,0X22,2MM 411,000 UN 1,650000 0,000000 STARTOOLS FERRA"
"243 DRYWALL FORRO CABECA PHILIPS FL 59,000 CT 72,320000 0,000000 KL VITORIA - COM. D"
"244 DRYWALL FORRO CABECA PHILIPS FL 0,000 CT 60,560000 0,000000 KL VITORIA - COM. D"
"402 ELASTICO EXTENSOR 1,5M X 8MM 129,000 UN 5,160000 0,000000 SETE MARES COMER"
"497 ELASTICO EXTENSOR 1,8 X 8MM 84,000 UN 5,400000 0,000000"
