codigo,produto,saldo,unidade,preco_atacado,preco_varejo,fornecedor,categoria
507,PINCEL 38MM,"384,000",UN,3.28,0.0,SETE MARES COMER,UTILIDADES
506,PINCEL 50MM,"378,000",UN,4.18,0.0,SETE MARES COMER,UTILIDADES
508,PINCEL 63MM,"348,000",UN,5.18,0.0,SETE MARES COMER,UTILIDADES
509,PINCEL 75MM,"343,000",UN,6.08,0.0,SETE MARES COMER,UTILIDADES
258,PLUG BIG 10A 2P+T BRANCO A GRANE,"-18,000",UN,3.12,0.0,,ELETRICA
248,PLUG BIG 10A 2P+T PRETO A GRANEL,"30,000",UN,3.12,0.0,,ELETRICA
165,PLUG BOB LATONADO,"-23,000",UN,1.9,0.0,CONTROLESIS TECN,ELETRICA
207,PLUG MACHO PRETO,"-43,000",UN,2.61,0.0,LUSTER IND DE MAT,ELETRICA
250,PLUGUE BIG 90 20A 2P BR A GRANEL,"26,000",UN,4.96,0.0,,ELETRICA
256,PLUGUE BIG 90 20A 2P PR A GRANEL,"44,000",UN,4.78,0.0,,ELETRICA
251,PLUGUE BIG 90 20A 2P+T BR A GRANEL,"-11,000",UN,6.82,0.0,,ELETRICA
257,PLUGUE BIG 90 20A 2P+T PR GRANEL,"48,000",UN,6.64,0.0,,ELETRICA
480,PLUGUE DESMONTAVEL PINO MACHO 2,"100,000",UN,3.1,0.0,APLASTEC,ELETRICA
481,PLUGUE DESMONTAVEL PINO MACHO 2,"100,000",UN,2.61,0.0,APLASTEC,ELETRICA
478,PLUGUE DESMONTAVEL PINO MACHO 2,"100,000",UN,4.99,0.0,ALVARENGA COME,ELETRICA
477,PLUGUE DESMONTAVELPINO MACHO 2,"100,000",UN,6.28,0.0,APLASTEC,ELETRICA
153,PLUGUE MACHO,"120,000",UN,2.61,0.0,LUSTER IND DE MAT,ELETRICA
336,PLUGUE MACHO - BCON,"141,000",UN,3.99,0.0,LUSTER IND DE MAT,ELETRICA
337,PLUGUE MACHO 2P+T 20A,"34,000",UN,3.98,0.0,LUSTER IND DE MAT,ELETRICA
77,"PONTA BIT PHILIPS PH2 50MM, MARCA E","0,000",UN,1.82,0.0,KL VITORIA - COM. D,FERRAMENTAS
419,PONTA BIT PHILLIPS 25MM,"-60,000",UN,1.72,0.0,KL VITORIA - COM. D,FERRAMENTAS
239,PONTEIRA PHILIPS PH2 65MM MAGNET,"50,000",UN,2.5,0.0,KL VITORIA - COM. D,FERRAMENTAS
277,PONTEIRA PHILIPS PH2 100MM MAGNET,"290,000",UN,2.29,0.0,KL VITORIA - COM. D,FERRAMENTAS
276,PONTEIRA PHILIPS PH2 50 MM MAGNET,"120,000",PC,2.62,0.0,KL VITORIA - COM. D,FERRAMENTAS
234,PONTEIRO SDS 14X250MM,"3,000",UN,12.62,0.0,KL VITORIA-COM.D,FERRAMENTAS
365,PREGO DE ACO COM CABECA 15X15M,"90,000",PC,4.94,0.0,KL VITORIA - COM. D,FERRAMENTAS
496,PRENDEDOR DE CARGA,"18,000",UN,24.99,0.0,,FERRAMENTAS
254,PROTETOR ELETRONICO 4 SAIDAS,"13,000",UN,23.28,0.0,,ELETRICA
255,PROTETOR ELETRONICO 6 SAIDAS,"9,000",UN,25.66,0.0,,ELETRICA
532,PULSEIRA MAGNETICA,"30,000",PC,38.13,0.0,KL VITORIA - COM. D,UTILIDADES
579,RALO 9 3/4 INOX,"509,000",UN,2.15,0.0,,UTILIDADES
452,RALO DE INOX PARA PIA 5CM,"216,000",UN,3.1,0.0,SETE MARES COMER,UTILIDADES
568,REBITADEIRA 9,"80,000",UN,22.5,0.0,SETE MARES COMER,FERRAMENTAS
562,REF 20005 JOGO DE CHAVES ALLEN HE,"58,000",UN,14.22,0.0,SETE MARES COMER,FERRAMENTAS
565,REF 20007 JOGO DE CHAVES CURTA,"70,000",UN,14.18,0.0,SETE MARES COMER,FERRAMENTAS
559,REF 50364 CHAVE PHILLIPS 3-16X4,"234,000",UN,6.7,0.0,SETE MARES COMER,FERRAMENTAS
59,REF 10515 NIVEL P/ USO EM CONSTRUCA,"19,000",UN,11.2,0.0,SETE MARES COMER,FERRAMENTAS
60,REF 10516 NIVEL P/ USO EM CONSTRUCA,"27,000",UN,12.64,0.0,SETE MARES COMER,FERRAMENTAS
178,"REF 10525 CHAVE UNIVERSAL, MANUAL","113,000",UN,14.81,0.0,SETE MARES COMER,FERRAMENTAS
57,REF 10613 TRENA 7 METRA-NAVY,"51,000",UN,16.42,0.0,SETE MARES COMER,FERRAMENTAS
191,REF 16021 TRENA METRICA 5M 5X25 M,"78,000",UN,10.8,0.0,SETE MARES COMER,FERRAMENTAS
58,REF 40037 FITA VEDA ROSCA 18X5M,"1436,000",UN,1.74,0.0,SETE MARES COMER,UTILIDADES
189,REF 50305 ROLO DE PLASTICO P/ PINTUR,"68,000",UN,8.34,0.0,SETE MARES COMER,UTILIDADES
187,REF 50306 ROLO DE PLASTICO P/ PINTUR,"308,000",UN,4.96,0.0,SETE MARES COMER,UTILIDADES
177,REF 50309 ALICATE DESENCAPADOR/CRIM,"9,000",UN,42.9,0.0,SETE MARES COMER,FERRAMENTAS
